,Dates,Ratings,Titles,Bodys
1579,2018-11-29,5,Great,Best purchase. No complaints
1580,2019-10-27,1,Installation not done even after one week of delivery,"The item was delivered on time safely. However, installation has not been initiated till now. Contacted Bosch service through both telephonically and email and got reply saying my case will be attended. If incase, the item doesn't work properly, i may not be able to return it before 30 Oct."
1581,2019-04-10,5,Very Silent comparing its RPM,Simply good
1582,2017-06-22,5,Five Stars,Awesome Washing Machine. It runs very smooth and without making any noise.
1583,2018-11-25,5,"Very nice, silent work","Very nice, silent work"
1584,2016-12-13,5,Satisfied,Bought it two months ago works good and I am satisfied for buying this.
1585,2018-09-04,5,No.1,Best Washing machine in the market
1586,2018-10-12,5,Five Stars,Just go with it !
1587,2017-09-04,5,Five Stars,Love it. Soundless and as usual very good in washing too.
1588,2019-03-29,5,A perfect washer..,Awesome product.
1589,2018-10-04,5,V.goog product,Best quality in affordable price
1590,2019-01-02,5,But without worries,Wow.  Wonderful product.
1591,2019-07-21,1,Washing machine shakes on spin. Low class product experience. Dont trust the brand,"The media could not be loaded.
                



 Washing machine at 1000rpm(although it is 1200rpm machine) is shaking vigorously as you can look at the surf packet movement..I dont understand why should I invest amount in this crap by trusting brand. Going for replacement"
1592,2017-10-08,2,poor installation service,"very poor installation service by amazon, you shall need a plumber and lot more before the standard installation will happen but frankly installation here just mean to tell you how to plug in the machine to power switch and read whats written on panel , no live demo!"
1593,2019-05-04,5,Good,Good
1594,2017-11-12,5,Great product,"Except delayed delivery, product is flawless I would recommend."
1595,2019-03-22,5,Too good,Too good
1596,2018-11-11,5,Good machine😍😍,Excellent working....worth of money
1597,2019-12-07,2,Noisey helicopter,Very high noise and vibrations
1598,2017-07-19,4,Four Stars,Good
1599,2018-10-27,3,Bosch 7kg received,Ok
1600,2017-02-13,4,Four Stars,So far so good
1601,2016-11-05,5,Working excellent.,Timely delivered by amazon and after that installation done by BOSCH satisfactorily. Working excellent.
1602,2018-11-06,5,Happy with the product,Happy with the product
1603,2018-12-20,5,LIKITH KUMAR B L,"Nice product,value for money."
1604,2019-02-01,5,Good,Performance is excellent
1605,2019-03-14,5,Good quality,Very nice
1606,2019-03-05,5,A1,A1
1607,2019-03-03,5,Fine,Good
1608,2019-04-19,5,👍,👍
1609,2019-03-08,5,Good product. I got it Rs 24k,Good product.
1610,2019-01-29,5,Nice product,"Good product, recommended"
1611,2019-03-10,5,Superb machine,Superb machine
1612,2019-03-09,5,Superb machine..tku Amazon.,Marvelous machine.
1613,2019-03-02,5,Zxy,Zxy
1614,2018-12-09,5,Amazing,Really good product
1615,2018-10-27,5,Satisfied,"Silent, stable, strong build"
1616,2019-01-17,5,Value for money,Nice product
1617,2019-03-06,5,Nice performance,Nice performance
1618,2017-10-08,5,Five Stars,Awesome by all means . Just go for it
1619,2018-12-04,5,Nice,Like this product
1620,2018-09-02,5,Noiseless spinning,Perfectly working.. Noiseless spinning
1621,2017-10-10,5,Five Stars,Very good and very much satisfied with the product.
1622,2019-04-06,5,Good,Good
1623,2019-02-28,5,Awesome,Awesome machine
1624,2018-10-23,5,Excellent,Fully satisfied with quality.
1625,2016-02-28,5,Nice and Easy.,It is good.. But system is fitfully to be used by older people due to complex operations..
1626,2020-03-16,1,Faulty item received,"The media could not be loaded.
                



 Faculty Product received, please replace new item. After checking your installation person confirm that tumbler leakage found. So please  return this item and do the needful."
1627,2020-10-16,1,Not worth it!,Too disappointed. Have trouble with the machine within 2.5 years of buying. More over have trouble even after getting it repaired twice! Never thought the product is this worse.
1628,2019-02-22,5,Perfect,Excellent product!
1629,2018-11-26,5,He kpot,Value for money
1630,2018-07-11,5,Five Stars,Nice product.no sound at all
1631,2019-03-31,5,Good,Good
1632,2020-11-16,1,Waste of my time to ordered this product,Rainsing time water fell down on the floor worst product . they send them defective product
1633,2016-07-07,5,Quality product.,Quality product. But water pressure should be high otherwise you have to buy water pump.
1634,2019-02-11,5,Perfect product for all purpose,Perfect
1635,2019-02-10,5,Superb,Superb
1636,2019-01-01,5,👍,Good one.
1637,2015-08-13,5,This washing machine is very good and very happy with its performance,This washing machine is very good and very happy with its performance. I would prefer to refer this to others.
1638,2018-11-21,5,Bosch washing machine is best,Worth the money.
1639,2018-11-18,5,Product is good and worthy,Product is good
1640,2018-05-17,5,Five Stars,"Good machine, good performance so far"
1641,2019-03-25,5,8122475708,Supper
1642,2019-02-04,5,No Challenge,Helpfullllll
1643,2019-02-03,5,👍,👍
1644,2018-11-13,5,Amazing product,Go for it.
1645,2019-02-11,5,Amazing product,Amazing product
1646,2016-09-10,5,Best at this price I got nice deal 24% discount,Only buy Bosch washing machine. Best at this price I got nice deal 24% discount
1647,2018-02-10,5,Five Stars,Very good product and working as expected....
1648,2016-11-21,5,Excellent Wash,Very Good Washing machine with excellent wash. Less noise & consumes less water.
1649,2018-09-24,5,Good,Good washing machine
1650,2018-12-26,5,Great product and vendor,Very user friendly
1651,2017-04-08,5,Five Stars,Best price and best delivery as promised by Amazon. Good deal
1652,2019-03-15,5,Excellent,Excellent
1653,2016-11-27,5,"Great buy, value for money","Excellent product, delivered in time, installed diligently and working as expected. Great buy.."
1654,2019-01-28,5,Good,Good
1655,2018-09-12,5,Very happy with the purchase,Very good quality
1656,2019-01-23,5,Bosch washing machine,Grate
1657,2018-12-13,5,Use full,So good
1658,2017-05-30,4,Four Stars,nice
1659,2018-10-04,5,Performance,Good performanceThe status
1660,2019-01-21,5,Excellent,Excellent
1661,2017-10-12,5,Very good washing quality and ease of use.,Very good washing quality and ease of use.
1662,2019-03-06,5,Thank you Bosch,❤️
1663,2019-03-05,5,Good,Good
1664,2018-12-08,5,Nice products,Nice product
1665,2019-02-28,2,Quality,Plastic body with no bottom stand or wheelNo wheel no bottom standU have to buy an extra stand
1666,2017-04-16,4,Four Stars,Good michine
1667,2017-12-12,3,More vibration and noise,vibration and sound level is more
1668,2020-02-02,1,Damaged Piece Delivered,"When Product installation executive came and open, the item was damaged.They are trying to convince us to repair it.  Otherwise, replacement will take 2 to 3 months.I will go for the consumer forum and complaint on both."
1669,2018-10-20,5,Value for money,Good washing machine
1670,2018-11-30,5,Nice,Nice product
1671,2018-03-23,5,Five Stars,"Excellent Master piece , high performance"
1672,2015-12-25,5,Nice deal and good washing machine,Nice washing machine. Look out for water pressure especially in old houses it will be a problem.
1673,2017-07-07,5,Five Stars,Happy with the performance for the price I paid.
1674,2018-08-23,5,excellent  Product,excellent  Product
1675,2018-12-29,5,Good,Good
1676,2019-12-18,1,Very pathetic !!!,"It has been less than 1 year and the washing machine is leaking from one corner, creating a mess on the floor! Such a pathetic buy! The service guys are not co-operating to fix the problem. So disappointing I don't know what to do!"
1677,2018-08-15,3,Good product,NiCe
1678,2018-11-24,5,Great,Must buy.....
1679,2017-07-18,5,A great machine!!!,Wonderful washing machine. Its performance  exceeds my expectations.
1680,2017-11-19,5,Five Stars,Bought this in 2016. Worth every penny.
1681,2017-11-02,5,Five Stars,Product performance is up to self satisfaction level.
1682,2017-02-03,4,Four Stars,Good one
1683,2016-11-12,5,Five Stars,It's been a month since I'm using and it's perfect till now
1684,2018-12-30,5,5 star,Good
1685,2016-11-13,5,Five Stars,Excellent product. Using it for last 4 months. Less vibration superb wash
1686,2016-12-05,4,Four Stars,it's worth buying.
1687,2019-12-05,1,Pathetic product & service by amazon,"Bought the Bosch washing machine from amazon & it was defective.Got a replacement machine, but in a months time its leaking from everywhere.Also there is no way to contact amazon customer care for this order.Highly disappointed with the product & service."
1688,2017-09-27,3,Three Stars,please send someone to install my machine. its urgent
1689,2018-11-09,5,Very good,Very good
1690,2017-08-13,5,Very happy,I love the performance. It's a great product
1691,2015-09-01,5,It is very nice. Working as expected,First time I am buying the washing machine. It is very nice. Working as expected. Not much noise.
1692,2018-12-11,5,Best,Best
1693,2018-04-11,5,Nice one Go for it.,Nice one Go for it.
1694,2020-10-19,1,Waiting for demo and installation,I am purchase yesterday Bosch washing machine item delivered by Amazon person still i am waiting for installation and demo from Bosch
1695,2017-08-17,5,Five Stars,bosch washing machines are good. u can see results
1696,2017-10-14,5,Five Stars,Good Product... Heavy Usage is hassle-free now.
1697,2016-11-02,5,I am very satisfied with this product,Outstanding product in all aspects. I am very satisfied with this product.
1698,2018-12-05,5,Good product,Amazing..
1699,2020-02-25,1,Don’t buy it,Dont buy this product caz it produce current when i use it and even when the switch is off now i dont even know how to use it its very dangerous for me as well as for my family
1700,2017-02-20,4,Four Stars,ok
1701,2018-12-01,5,Value for money,Perfect
1702,2019-04-18,1,Compulsory Installation of Bosch machine by yourself,Company is instructing me to install the product myself. Strange enough. Its now 7 days of purchase. No installation. I am at a loss what to do. Plz anyone come out with suggestions what should I do. It's a Rs 30000/- product and no support from BOSCH.
1703,2017-02-14,4,Four Stars,Good
1704,2018-11-30,5,Good,Good
1705,2017-10-14,5,Best washing machine,2nd purchase and I completely recommend it.
1706,2018-11-29,2,Disappointed with item return,Initially got defected piece and replaced with lot of trouble by continuously calling Amazon customer care.New item is good and working fine.
1707,2018-10-07,5,Good item,Like
1708,2018-10-19,5,Good one,Nice product
1709,2018-10-14,5,Nice product,Good product
1710,2018-08-20,5,Good,Good one
1711,2017-07-23,5,Fully satisfactory,Excellent product with great discount on prime day
1712,2017-07-20,5,brilliant silent machine,"Using for a year now, brilliant silent machine."
1713,2017-06-20,5,Five Stars,Completely satisfied with the performance of the machine.
1714,2018-08-05,5,Best product,Good product..
1715,2017-08-28,5,Five Stars,"It is very good product,we loved it."
1716,2018-11-06,5,Ok,Ok
1717,2017-10-12,5,Awesome,Too silent. Works as more than expected.
1718,2017-10-28,5,Five Stars,Quality product..Low noise during running
1719,2021-07-30,1,Inflated price,Inflated price with terrible amazon team support
1720,2017-04-04,5,THE BOSS,"Bosch is the BOSS. Awesome product, go for it."
1721,2017-01-19,5,Go for it,Machine is too good..Zero dB sound... Use very less water
1722,2016-12-27,4,Four Stars,Nice
1723,2018-01-17,5,Five Stars,"Excellent product, very good price"
1724,2016-11-13,4,Bosch WAK24168IN,Excellent product❗️
1725,2016-10-08,5,Value for money,"Amazing offer by Amazon,it full filled my ambition, it works amazingly,"
1726,2018-03-20,5,Five Stars,Love itNo Problem
1727,2016-12-21,4,Four Stars,Good
1728,2018-02-20,5,Five Stars,Great Machine. Great Service.
1729,2018-10-20,5,Excellant,Excellant
1730,2017-04-25,5,Very good product,A very good product and happy with it.
1731,2018-06-23,5,Five Stars,simply superb
1732,2017-11-22,5,"It's really amazing, 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍","Simply supervbbbb. It's really amazing,😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍"
1733,2018-08-06,5,Five Stars,BEST
1734,2017-11-25,5,Five Stars,Best among the betters ☝️
1735,2020-05-31,1,dont buy bosch,No installation support by Bosch and the dealer...extremely pathetic service by amazon.....delivered at the society gate of a multibuilding society without information ....have asked for a replacement / return
1736,2020-06-30,1,Installation issues,Installation.Its benn 30 days since the product got delivered but installation isnt done yet.Poor customer support from both bosch ream and amazon support.
1737,2019-10-07,1,Poor service by amazon/bosch - No installation,Dont know about the product.These people fool you. They sell the product but do not get the installation done.My washing machine is lying idle for last 5 days.No one is visiting us to do the installation.
1738,2017-10-12,5,Five Stars,Great experience. Best buy . Thanks Amazon.
1739,2017-11-10,5,Five Stars,Very good Product.. Thanks Bosh
1740,2018-06-07,5,Five Stars,Excellent gadget
1741,2018-06-04,5,Five Stars,Excellent product
1742,2019-09-05,2,Not bad,Some noise coming
1743,2016-11-11,4,Four Stars,good
1744,2019-08-31,1,"Just wow experience from BOSCH, totally no integrity. Customer care doesn’t pick call","Till now no sign of demo n installation. Guy called for appointment and when asked to bring original bosch stand, he tells to buy a duplicate for 2200, when i said no for that he doesnt have time to visit and do installation"
1745,2017-08-09,5,Five Stars,Machine is up to my expectations!
1746,2018-10-13,2,Water was inside the washing machine,There was water in the tub dont know how can water be inside the washine machine hence giving 2 stars
1747,2017-01-24,1,Awful experience.,"Horrible experience, got this during the great Indian sale. Turned out to be a defective piece and had to return. To confirm its defective the Bosch support team took 4  full days. And you raise a complaint with them they will contact after two days. To top that Amazon returns policy is really bad. Now this machine is 4k high and I will not make a mistake of ordering this again. The only reason I am not going to buy this again is because of the awful after sales support."
1748,2018-05-13,5,Five Stars,Good product
1749,2020-06-18,1,Worst service,No one visited for installation sofar.. Amazon has delivered on 12th of Jun ..till this time not hard anything from Bosch nor Installation ppl
1750,2018-06-14,5,Great wash quality,Wow
1751,2019-12-12,1,Washing machine not working after 2 days from delivery,My washing machine stopped working within 2 day's of delivery.called Bosch service center but received response that no product is registered on your mobile number hence can not send service enginer for checking...please take back this product
1752,2016-10-06,4,Four Stars,Good
1753,2018-02-21,5,Five Stars,Very much satisfied
1754,2015-09-12,5,Awesome product,Awesome product.started first wash and product is way better than any other company washing machine
1755,2020-06-12,1,Anger,Still installation  is pending from Bosch...So irritating this is...Plz do something..I had complained 4 times but isn't responding
1756,2016-11-03,5,Silent yet powerful,Excellent and silent machine that does its job properly
1757,2018-01-23,5,Five Stars,Very good product..
1758,2016-07-17,4,Four Stars,Good machine
1759,2017-01-23,5,Five Stars,Great machine. Simple to handle. Very silent also.
1760,2020-12-02,1,Too much noise and shaking during rinse,"During the rinse, the noise was high and the response from Amazon was unacceptable."
1761,2017-08-27,5,just go for it !!!!,Fully satisfied....soooper wash every wash
1762,2017-09-30,5,value 4 money,"nice product, washes clothe's nicely."
1763,2017-10-15,5,Five Stars,Nice.. Good wash quality
1764,2016-01-02,5,Five Stars,Very good washing machine. Much better than any of the others I have used.
1765,2018-04-27,5,Good,Excellent
1766,2017-09-24,5,Five Stars,No issues so far.
1767,2016-12-02,5,super product,Super product from Bosch. And delivered very well.
1768,2020-12-26,1,Damaged product,Have ordered Bosch washing machine. I have received 3 times damaged product.
1769,2020-01-30,1,Not value  for money...should not purchase online,"Not at all happy  with this product,  not working well condition clothes  not cleaning, deeply disappointed...One of my friends  who brought from showroom its woking well .."
1770,2020-01-28,1,INSTALLATION,"installation still pending, I asked amazon customer care they not help they told to ask brand, I called brand they told you not registered bosch installation service please give a correct suggestion."
1771,2019-06-10,1,Pathetic Service,Installation was to be done on 7th June but the person who was assigned for installation says he didn't have any such information and that he was on leave and Amazon's customer support asked me to reschedule the installation instead of getting it done...
1772,2018-04-11,5,Five Stars,Excellent
1773,2016-06-27,5,Five Stars,Great product and perfect for a family of 4 people...
1774,2016-10-13,5,Five Stars,Fully satisfied with this Washing machine. Go for it.
1775,2020-08-13,1,Waste product,It's not even working motor is not working water has blocked I need replacement u didn't even respknd
1776,2016-11-04,5,"Its very good: Low Noise, Cleaning is superb.","Its very good: Low Noise, Cleaning is superb."
1777,2018-02-10,5,Five Stars,Excellent product
1778,2018-02-02,5,Loved it,Loved it
1779,2017-02-28,5,Five Stars,"Loved it, got it in good deal."
1780,2016-10-25,5,Five Stars,Good results as claimed.  Worth the value.
1781,2016-08-14,5,Five Stars,Awesome machine... Excellent service from Bosch as well as Amazon
1782,2017-10-19,5,Five Stars,very good product
1783,2017-10-13,5,So far so good,Good until now.
1784,2019-08-02,1,installation & demo process is very slow,"I have purchased the washing machine on 20th, now the date is 31. it has been completed 10 days still installation and demo process did not complete yet so unable to use it and even return policy is also expired."
1785,2017-01-21,5,Nice Product,"Nice Product, I would recommend this product."
1786,2016-10-12,5,Five Stars,Fine enjoyed. Very good. Use for all family
1787,2017-11-07,5,Five Stars,Worth the Price
1788,2017-03-08,5,Five Stars,Best washing machine of best brand
1789,2018-02-20,5,Five Stars,Yes
1790,2017-02-03,5,Five Stars,Nice product had problems with the installation
1791,2017-07-21,5,Five Stars,Bosch be the best
1792,2017-12-01,5,Five Stars,Nice product.
1793,2017-07-06,5,Five Stars,Awesome product from bosch
1794,2017-10-06,5,Great machine,Worth the money!
1795,2017-07-06,5,Five Stars,Worth for money paid
1796,2017-11-30,5,Five Stars,Good product
1797,2018-03-18,5,Five Stars,Great
1798,2016-07-21,5,Five Stars,Very good. Water pressure to be verified before purchasing.
1799,2016-06-23,5,Five Stars,"Satisfied with it , no complaints of any kind"
1800,2016-02-22,4,Four Stars,Better machine...meet expectation
1801,2019-08-31,1,Don't purchase this item,"Burst service of amazon and bosch, 22nd august delivered the machine, but installation didn't till now, many many times I call bosch customer care but no proper response, so don't purchase this type of product"
1802,2016-09-09,5,Five Stars,Very satisfied with the product. Laundry like washing.
1803,2019-01-27,2,Bad experience.,Very poor installation service from brand.
1804,2016-10-31,5,Product is excellent.,Delivery is very prompt. Product is excellent.
1805,2019-10-27,1,Worst decision to buy such products from Amazon,No installation service provided..called the technician several times but in vain...poor coordination between amazon and installation team.. worst decision to buy such costly items from Amazon...Reliance or croma are much better
1806,2017-10-28,5,Five Stars,Its good
1807,2021-04-27,1,Product damaged need help,Product damaged please send a service technician
1808,2018-01-02,5,Five Stars,Superb
1809,2017-11-30,5,Five Stars,Excellent machine....
1810,2020-11-23,1,MACHINE IS NOT WORKING. DO NEEDFUL,THE MACHINE IS SHOWING ERROR AND NOT WORK. IT STOPS DURING WASH.
1811,2019-03-04,1,Received damaged product and no installation.,Received damaged product. No installation till 20 days. Very poor service by Amazon and bosch. Neither the Amazon guy nor the Bosch guy wants to move the machine at all.
1812,2019-10-11,1,Don't buy,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 Delivered broken goods after one month I don't get solution from Bosch worst customer care services"
1813,2016-10-17,5,best in that,this is ultimate machine.......best in that range
1814,2020-03-02,1,No Demo and installation,Item was delivered on 24th of feb its 2nd of march even after multiple calls to bosch no technician came for installation and demo.
1815,2017-10-23,3,Three Stars,Good quality
1816,2017-09-25,5,Five Stars,Very good
1817,2017-09-20,5,Five Stars,good product
1818,2017-05-20,5,Five Stars,Supper but prize hig
1819,2020-02-16,1,Don't go for Bosch washing machine,Washing Machine stopped working within 3 months of purchase.Now have to run behind support teams to get this fixed. Not worth buying this.
1820,2020-10-17,1,Damaged Product,Received a damaged product. The product was damaged when I opened the package.
1821,2016-11-03,5,Five Stars,Very fast delivery and good product.
1822,2016-11-07,5,Five Stars,Very good machine go for it
1823,2016-10-19,5,Five Stars,Good machine. Works well. Very silent.
1824,2016-03-24,5,The quiet performer,"Super silent machine, washes well. Display was a tad disappointing."
1825,2016-12-28,5,Good,Delivered on time.. Good product
1826,2017-01-06,5,Just go for it no doubt its a bomb..,Just wonderful..no words to say
1827,2016-10-05,5,Five Stars,Nice washing machine at this price
1828,2017-10-06,5,Five Stars,Excellent
1829,2020-10-20,1,Installation team,How can I contact installation team?. Please share installation team contact number.
1830,2016-12-21,5,Five Stars,It is an excellent machine.
1831,2019-09-12,1,Stinking Washer,"One of the most horrible products! The clothes stink after wash. Technician suggested use of descaler, have used 6 boxes, and still clothes stink after every wash! No solutions forthcoming."
1832,2016-10-24,2,Poor Service From BOSCH,"Product okay,nice Washing machine. but problem facing from Bosch servicing center. very very Poor and Pathetic service.i purchased this product oct 1st,2016.till today(25th October) I'm not getting Demo and Installation for my Washing Machine."
1833,2017-09-20,5,Five Stars,Excellent
1834,2017-07-07,5,Five Stars,Awesome 😍
1835,2016-11-29,5,Five Stars,Excellent product as per expectations
1836,2017-07-18,5,Five Stars,Awesome Product
1837,2017-10-03,5,Five Stars,ok
1838,2016-11-06,5,Five Stars,Very good. Value for money.
1839,2016-12-11,5,Five Stars,Good product and good discount
1840,2017-01-21,5,Five Stars,Machine working is good
1841,2017-08-23,5,Five Stars,Good
1842,2019-10-14,1,VERY BAD,VERY BAD PERFORMANCE.  MACHINE  RUN WITHOUT WATER. NO SAFETY WORKING.ELECTRICAL SHOCK AFTER TOUCH THE MACHINE. HEAVY VIBRATION DURING OPERATION.ABNORMAL SOUND DURING OPERATION.
1843,2017-08-09,1,The worst product ever,"The worst product ever. Amazon please take action against such products.We had to pay extra amount for buying the long water inlet tube and adapter, and then from the very next day we had to face the Err17 code which frustrates my mom and she stopped using the machine than spending time over it to restart the machine. Its really frustrating."
1844,2017-06-18,5,Five Stars,Nice product
1845,2019-11-05,1,Worst experience,Washing machine purchasing is worst experience. It was huge noise and machine was moving while dryer was working. Two machines having same problem.
1846,2021-04-17,1,very noisy  horrible,getting very much sound shaking
1847,2016-08-02,5,Five Stars,user friendly and gives laundry wash
1848,2017-05-26,5,Five Stars,Perfect product
1849,2015-09-18,4,Four Stars,good
1850,2017-04-30,5,Five Stars,Excellent product
1851,2017-08-29,5,Five Stars,good
1852,2015-09-25,5,Five Stars,Product is very gud and is as per our expectations...
1853,2019-12-05,1,bad,It is very bad product because after using 1 year it shows always error E17 so dont buy this product
1854,2017-09-02,1,Poor service and Product from a LEADER BRAND,Very Poor service.No demo given. Service person asking 850 rs for demo.calling service team from last 40 days but no one responding. Registered Complaint to BOSCH ON 24TH AUG.TODAY IS 2 SEPT. AGAIN REGESTERED COMPLAINT ON 28 ON TOLL FREE AND EMAIL.NO SERVICE RECD TILL DATE.MACHINE DANCING ON FLOOR DURING DRYING PROCESS AT 1200 RPM. POOR PRODUCT
1855,2019-12-04,1,Washing machine setup by unqualifed fitters,The people who come to setup the machine are unqualified and charge extra money under the pretext of using extra accessories
1856,2017-10-06,1,No one bothered to call for the installation,Machine is good but giving low rating because no one came to installed the machine. Finally I need to call just dial and paid extra charges to the person who helped us to installed and gave the demo yo us. All other customers also complaining about the same.
1857,2017-03-14,5,Five Stars,Good choice
1858,2016-10-10,5,Five Stars,Excellent machine. Highly satisfied
1859,2016-12-22,5,Five Stars,Amazing Product :)
1860,2017-02-22,5,Five Stars,good product
1861,2016-10-10,5,Good,Good & no issues
1862,2020-06-06,1,Waste of time and money,"There is no demo for the washing machine, even the telephone call are not lifting"
1863,2021-01-24,1,Bosch washing machine is good but given defective piece,Given defective piece.. Returned it
1864,2017-02-03,5,Five Stars,Good product
1865,2016-12-01,5,Five Stars,Go for it!!
1866,2018-08-23,2,Poor installation,Installation is very poor
1867,2017-04-17,5,Five Stars,Good
1868,2020-12-10,1,Stopped working in 2 years,Machine is not working in 2 years.
1869,2016-10-27,5,Five Stars,LOVED THE PRODUCT
1870,2016-11-19,5,Five Stars,Very good machine
1871,2016-12-19,5,Five Stars,Nice product
1872,2016-12-08,5,Five Stars,Good product
1873,2019-08-21,1,Worst product,It is worst product in dry mode it is vibrating very high and washing machine moves from this end to that end
1874,2016-11-28,5,Five Stars,awesome product
1875,2016-12-05,5,Five Stars,Nice product
1876,2016-10-06,5,Five Stars,Good quality and as described
1877,2017-01-30,5,Five Stars,good
1878,2016-01-26,5,Five Stars,Simply superb no words to say.
1879,2016-11-06,5,Five Stars,Nice prodcut
1880,2016-09-14,5,Five Stars,Bosch v good
1881,2016-11-03,5,Five Stars,Good product
1882,2016-11-03,5,Nice experience till date,its cool....
1883,2016-11-19,5,Five Stars,Nice product
1884,2017-02-11,1,The water pressure is terrific but this not-made-for-india device simply doesn't work,Doesn't work at all - Already spent thousands on installing expensive water pressure pumps . The water pressure is terrific but this not-made-for-india device simply doesn't work. Clueless Bosch support .  If someone from Bosch India is reading this - please stop selling not-made-for-india products in indian markets. Use a bit of common sense and stay away from this crap.
1885,2020-07-18,1,Some Options Not Working Properly,It's tuf to use. Some options are not working properly.
1886,2016-07-26,5,Excellento!,Very good washing machine!😂
1887,2016-10-19,5,Five Stars,Simply superb
1888,2020-07-23,1,Recived defective piece,Recived a defective piece and returned it back to the seller
1889,2016-10-17,2,"Good Product, but poor service","Thank you so much Amazon for quick delivery.Good Product , but poor service.No response from BOSCH regarding installation & Demo."
1890,2020-10-18,1,Beware of dents,Got a dented product from Amazon
1891,2020-09-16,1,"Not a Washing Machine, Its a Vibrator",Heavy Vibration while Spinning! Poor shock absorbers...... Complete Disappointment.
1892,2016-07-05,5,Five Stars,One Word: Solid
1893,2020-07-27,1,West of money,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 This problem"
1894,2020-11-01,1,Clothes are not Draining properly,Clothes are not draining properly
1895,2016-10-31,5,Five Stars,Good
1896,2020-10-29,1,Negative experience with the seller,Product had a cracked top when delivered.
1897,2016-11-14,5,Five Stars,good
1898,2022-12-06,1,"WIth 4 years of buying, main circuit got bad twice","I bought this in 2018, everything about the machine is fine, easy to use, cleans the clothes, but the main circuit board got spoiled twice, i had to spend 5k every time.. Bosch needs to give more years of warranty for electronics than their motor. would not recommend anyone to buy BOSCH washing machine."
1899,2015-10-30,5,Five Stars,it making so much of noise..........
1900,2016-10-31,5,Five Stars,Amazing
1901,2021-01-25,1,Excellent!,Excellent product!
1902,2016-09-16,5,Five Stars,Very good
1903,2016-07-02,5,Five Stars,Working fine
1904,2020-12-01,1,Not user friendly,Not user friendly
1905,2020-12-05,1,2014 model,Worse product old model
1906,2020-11-29,1,Excellent,It’s working good
1907,2016-07-14,1,Never Buy Bosch Products!,"The product is delivered couple of days back. Even after calling multiple times nobody came from Bosch for installation.Some one already reported the same here.If this is the response for installation, I am worried about their future service & support.Returning the product and planning for IFB or LG.Never buy Bosch!"
1908,2019-11-20,1,No service and installation facility,There is no installation and service facility provided for BOSCH washing machine. Never buy their product.
1909,2016-10-31,5,Five Stars,nice
1910,2017-09-24,2,Till now no installation call or message,Till now no installation call or message.
1911,2017-10-12,1,Poor Service from Bosch.,"Very disappointing service from Bosch. Even after 48 hours and 3 calls, still demo and installation pending, I wonder how the maintenance service would be 😂. I have returned the product and going with other brands with better after sale service."
1912,2017-09-25,1,Very bad experience. Top lo the machine was broken while ...,Very bad experience. Top lo the machine was broken while delivery. And it is not made up of metal . It is made up of wood.. really great disappointment. And also i dont get any replacement. They provide only refund..
1913,2019-09-29,1,Installation not done till now,Iam not satisfied with product..it's been around 3 months ..they have not come for installation..very bad service
1914,2019-11-16,1,Noise too HiGh,Noise level is too too high please avoide buying and go for other brans
1915,2020-10-09,1,Old machine,Old sent
1916,2020-08-09,1,Damaged product,Received a damaged product.
1917,2019-11-02,1,Horribble service by amazon,"Amazon service is worst. Machine is non functional, 1000 reports done, still no action"
1918,2019-10-09,1,Very irresponsible technician,All mechine is good and working well.problem with the installation technician.he is very irresponsible.
1919,2018-11-19,1,Wroust,"The wroust mission lot of noise different sound's don't bye it, I am using last one month no peace of mind,service also poor,"
1920,2017-05-04,1,Delay in installation by more than month,Bought machine on 27th March and installation was done on 3rd May which is almost more than a month. I didn't expect this from Amazon.I have used only once since yesterday because Bosch representative came yesterday to install it.
1921,2020-08-15,1,Poor,Poor
1922,2016-10-07,1,Worst customer service provide by bosch,Bosch service is very poor . Requesting more than 4 times for installation and demo . No one come for installation . This type. Service not suits for brand Bosch. I was in impression that service will be good because of century old company... but product is good
1923,2017-03-08,1,Review,"When I am posting bad feedback mjn automated system is rejecting, with defect peace how can I give item specific feedback.I have received defective product and mjn is not returning as window period is closed even Machine didn't open with other reasons."
1924,2019-12-16,1,Reconsidering bosch,Noise still high. got damage product from amazon shipment.
1925,2018-12-29,1,Damaged product,Bosch technician found that the Product is damaged. It's been more than a month are we are still waiting for replacement.
1926,2019-06-27,1,Bosch the worst,Very bad service and installation management. Worst. Till date no one came. Bosch the worst
1927,2020-06-11,1,Call me now otherwise I will return,Call me NOW
1928,2019-11-13,1,Damaged product delivered,What to tell when u have delivered a damaged product
